1,01,Aveiro
2,0101,Águeda
3,010103,Aguada de Cima
3,010109,Fermentelos
3,010112,Macinhata do Vouga
3,010119,Valongo do Vouga
3,010121,União das freguesias de Águeda e Borralha
3,010122,União das freguesias de Barrô e Aguada de Baixo
3,010123,"União das freguesias de Belazaima do Chão, Castanheira do Vouga e Agadão"
3,010124,União das freguesias de Recardães e Espinhel
3,010125,União das freguesias de Travassô e Óis da Ribeira
3,010126,"União das freguesias de Trofa, Segadães e Lamas do Vouga"
3,010127,União das freguesias do Préstimo e Macieira de Alcoba
2,0102,Albergaria-a-Velha
3,010202,Alquerubim
3,010203,Angeja
3,010204,Branca
3,010206,Ribeira de Fráguas
3,010209,Albergaria-a-Velha e Valmaior
3,010210,São João de Loure e Frossos
2,0103,Anadia
3,010304,Avelãs de Caminho
3,010305,Avelãs de Cima
3,010307,Moita
3,010309,Sangalhos
3,010310,São Lourenço do Bairro
3,010312,Vila Nova de Monsarros
3,010313,Vilarinho do Bairro
3,010316,"União das freguesias de Amoreira da Gândara, Paredes do Bairro e Ancas"
3,010317,União das freguesias de Arcos e Mogofores
3,010318,"União das freguesias de Tamengos, Aguim e Óis do Bairro"
2,0104,Arouca
3,010402,Alvarenga
3,010407,Chave
3,010409,Escariz
3,010411,Fermedo
3,010413,Mansores
3,010414,Moldes
3,010415,Rossas
3,010416,Santa Eulália
3,010417,São Miguel do Mato
3,010418,Tropeço
3,010419,Urrô
3,010420,Várzea
3,010421,União das freguesias de Arouca e Burgo
3,010422,União das freguesias de Cabreiros e Albergaria da Serra
3,010423,União das freguesias de Canelas e Espiunca
3,010424,União das freguesias de Covelo de Paivó e Janarde
2,0105,Aveiro
3,010501,Aradas
3,010502,Cacia
3,010505,Esgueira
3,010508,Oliveirinha
3,010510,São Bernardo
3,010511,São Jacinto
3,010513,Santa Joana
3,010515,Eixo e Eirol
3,010516,"Requeixo, Nossa Senhora de Fátima e Nariz"
3,010517,União das freguesias de Glória e Vera Cruz
2,0106,Castelo de Paiva
3,010602,Fornos
3,010606,Real
3,010607,Santa Maria de Sardoura
3,010608,São Martinho de Sardoura
3,010610,"União das freguesias de Raiva, Pedorido e Paraíso"
3,010611,União das freguesias de Sobrado e Bairros
2,0107,Espinho
3,010702,Espinho
3,010704,Paramos
3,010705,Silvalde
3,010706,União das freguesias de Anta e Guetim
2,0108,Estarreja
3,010801,Avanca
3,010805,Pardilhó
3,010806,Salreu
3,010808,União das freguesias de Beduído e Veiros
3,010809,União das freguesias de Canelas e Fermelã
2,0109,Santa Maria da Feira
3,010901,Argoncilhe
3,010902,Arrifana
3,010904,Escapães
3,010907,Fiães
3,010908,Fornos
3,010913,Lourosa
3,010914,Milheirós de Poiares
3,010916,Mozelos
3,010917,Nogueira da Regedoura
3,010918,São Paio de Oleiros
3,010919,Paços de Brandão
3,010921,Rio Meão
3,010922,Romariz
3,010924,Sanguedo
3,010925,Santa Maria de Lamas
3,010926,São João de Ver
3,010932,União das freguesias de Caldas de São Jorge e Pigeiros
3,010933,"União das freguesias de Canedo, Vale e Vila Maior"
3,010934,"União das freguesias de Lobão, Gião, Louredo e Guisande"
3,010935,"União das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo"
3,010936,União das freguesias de São Miguel do Souto e Mosteirô
2,0110,Ílhavo
3,011005,Gafanha da Encarnação
3,011006,Gafanha da Nazaré
3,011007,Gafanha do Carmo
3,011008,Ílhavo (São Salvador)
2,0111,Mealhada
3,011102,Barcouço
3,011103,Casal Comba
3,011104,Luso
3,011106,Pampilhosa
3,011107,Vacariça
3,011109,"União das freguesias da Mealhada, Ventosa do Bairro e Antes"
2,0112,Murtosa
3,011201,Bunheiro
3,011202,Monte
3,011203,Murtosa
3,011204,Torreira
2,0113,Oliveira de Azeméis
3,011301,Carregosa
3,011302,Cesar
3,011303,Fajões
3,011304,Loureiro
3,011305,Macieira de Sarnes
3,011310,Ossela
3,011315,São Martinho da Gândara
3,011318,São Roque
3,011319,Vila de Cucujães
3,011320,União das freguesias de Nogueira do Cravo e Pindelo
3,011321,"União das freguesias de Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail"
3,011322,"União das freguesias de Pinheiro da Bemposta, Travanca e Palmaz"
2,0114,Oliveira do Bairro
3,011403,Oiã
3,011404,Oliveira do Bairro
3,011405,Palhaça
3,011407,"União das freguesias de Bustos, Troviscal e Mamarrosa"
2,0115,Ovar
3,011502,Cortegaça
3,011503,Esmoriz
3,011504,Maceda
3,011507,Válega
3,011509,"União das freguesias de Ovar, São João, Arada e São Vicente de Pereira Jusã"
2,0116,São João da Madeira
3,011601,São João da Madeira
2,0117,Sever do Vouga
3,011702,Couto de Esteves
3,011704,Pessegueiro do Vouga
3,011705,Rocas do Vouga
3,011706,Sever do Vouga
3,011708,Talhadas
3,011710,União das freguesias de Cedrim e Paradela
3,011711,União das freguesias de Silva Escura e Dornelas
2,0118,Vagos
3,011801,Calvão
3,011804,Gafanha da Boa Hora
3,011805,Ouca
3,011807,Sosa
3,011810,Santo André de Vagos
3,011812,União das freguesias de Fonte de Angeão e Covão do Lobo
3,011813,União das freguesias de Ponte de Vagos e Santa Catarina
3,011814,União das freguesias de Vagos e Santo António
2,0119,Vale de Cambra
3,011901,Arões
3,011902,São Pedro de Castelões
3,011903,Cepelos
3,011905,Junqueira
3,011906,Macieira de Cambra
3,011907,Roge
3,011910,"União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho"
1,02,Beja
2,0201,Aljustrel
3,020102,Ervidel
3,020103,Messejana
3,020104,São João de Negrilhos
3,020106,União das freguesias de Aljustrel e Rio de Moinhos
2,0202,Almodôvar
3,020203,Rosário
3,020205,Santa Cruz
3,020206,São Barnabé
3,020208,Aldeia dos Fernandes
3,020209,União das freguesias de Almodôvar e Graça dos Padrões
3,020210,União das freguesias de Santa Clara-a-Nova e Gomes Aires
2,0203,Alvito
3,020301,Alvito
3,020302,Vila Nova da Baronia
2,0204,Barrancos
3,020401,Barrancos
2,0205,Beja
3,020502,Baleizão
3,020503,Beringel
3,020504,Cabeça Gorda
3,020506,Nossa Senhora das Neves
3,020510,Santa Clara de Louredo
3,020516,São Matias
3,020519,União das freguesias de Albernoa e Trindade
3,020520,União das freguesias de Beja (Salvador e Santa Maria da Feira)
3,020521,União das freguesias de Beja (Santiago Maior e São João Baptista)
3,020522,União das freguesias de Salvada e Quintos
3,020523,União das freguesias de Santa Vitória e Mombeja
3,020524,União das freguesias de Trigaches e São Brissos
2,0206,Castro Verde
3,020603,Entradas
3,020604,Santa Bárbara de Padrões
3,020605,São Marcos da Ataboeira
3,020606,União das freguesias de Castro Verde e Casével
2,0207,Cuba
3,020701,Cuba
3,020702,Faro do Alentejo
3,020703,Vila Alva
3,020704,Vila Ruiva
2,0208,Ferreira do Alentejo
3,020803,Figueira dos Cavaleiros
3,020804,Odivelas
3,020807,União das freguesias de Alfundão e Peroguarda
3,020808,União das freguesias de Ferreira do Alentejo e Canhestros
2,0209,Mértola
3,020901,Alcaria Ruiva
3,020902,Corte do Pinto
3,020903,Espírito Santo
3,020904,Mértola
3,020905,Santana de Cambas
3,020906,São João dos Caldeireiros
3,020910,"União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros"
2,0210,Moura
3,021001,Amareleja
3,021002,Póvoa de São Miguel
3,021008,Sobral da Adiça
